"Ontology Terminology Statistics"															
															
	"Best F1"	0.349206349206					"Best F1"	0.3125							
	"Worst F1"	0.0588235294118					"Worst F1"	0							
															
	"concept"				"Score"			"relation"			"Score"		"Structural"		"Total"
"ontology"	"precision"	"recall"	"F1"	"% of best"	"(max 6)"		"precision"	"recall"	"F1"	"% of best"	"(max 2)"		"(max 2)"		
"risk_mouritz.cxl"	0.206896551724	0.166666666667	0.184615384615	0.528671328670756	3.17202797202454		0.444444444444	0.108108108108	0.173913043478	0.5565217391296	1.1130434782592				4.28507145028374
"risk_sudasinghe.cxl"	0.2	0.194444444444	0.197183098592	0.56466069142311	3.38796414853866		0.272727272727	0.162162162162	0.203389830508	0.6508474576256	1.3016949152512				4.68965906378986
"risk_leejordan.cxl"	0.125	0.111111111111	0.117647058824	0.33689839572361	2.02139037434166		0.111111111111	0.027027027027	0.0434782608696	0.13913043478272	0.27826086956544				2.2996512439071
"risk_nicholson.cxl"	0.75	0.166666666667	0.272727272727	0.78099173553719	4.68595041322314		0.333333333333	0.0540540540541	0.093023255814	0.2976744186048	0.5953488372096				5.28129925043274
"risk_low.cxl"	0.407407407407	0.305555555556	0.349206349206	1	6		0.333333333333	0.162162162162	0.218181818182	0.6981818181824	1.3963636363648				7.3963636363648
"risk_lau.cxl"	0.21875	0.194444444444	0.205882352941	0.589572192513453	3.53743315508072		0	0	"NaN"	0	0				3.53743315508072
"risk_lim.cxl"	0.0625	0.0555555555556	0.0588235294118	0.168449197861232	1.01069518716739		0.235294117647	0.108108108108	0.148148148148	0.4740740740736	0.9481481481472				1.95884333531459
"risk_ling.cxl"	0.324324324324	0.333333333333	0.328767123288	0.941469489416578	5.64881693649947		0.5	0.216216216216	0.301886792453	0.9660377358496	1.9320754716992				7.58089240819867
"risk_nizamuddin.cxl"	0.214285714286	0.0833333333333	0.12	0.343636363636707	2.06181818182024		0.357142857143	0.135135135135	0.196078431373	0.6274509803936	1.2549019607872				3.31672014260744
"risk_wisniewski.cxl"	0.181818181818	0.111111111111	0.137931034483	0.394984326019895	2.36990595611937		0.125	0.027027027027	0.0444444444444	0.14222222222208	0.28444444444416				2.65435040056353
"risk_kong.cxl"	0.127906976744	0.305555555556	0.180327868852	0.516393442622153	3.09836065573292		0.236842105263	0.243243243243	0.24	0.768	1.536				4.63436065573292
"risk_liu.cxl"	0.209302325581	0.25	0.227848101266	0.652474108171471	3.91484464902882		0.25	0.189189189189	0.215384615385	0.689230769232	1.378461538464				5.29330618749282
"risk_liddiard.cxl"	0.148936170213	0.194444444444	0.168674698795	0.483023001095256	2.89813800657153		0.37037037037	0.27027027027	0.3125	1	2				4.89813800657154
"risk_yandry.cxl"	0.285714285714	0.166666666667	0.210526315789	0.602870813396376	3.61722488037825		0.571428571429	0.108108108108	0.181818181818	0.5818181818176	1.1636363636352				4.78086124401345
"risk_angelica.cxl"	0.259259259259	0.194444444444	0.222222222222	0.636363636363636	3.81818181818182		0.285714285714	0.0540540540541	0.0909090909091	0.29090909090912	0.58181818181824				4.40000000000006
"risk_budgen.cxl"	0.148148148148	0.111111111111	0.126984126984	0.363636363636364	2.18181818181818		0.416666666667	0.135135135135	0.204081632653	0.6530612244896	1.3061224489792				3.48794063079738
"risk_brustur.cxl"	0.266666666667	0.111111111111	0.156862745098	0.449197860962904	2.69518716577742		0.25	0.027027027027	0.0487804878049	0.15609756097568	0.31219512195136				3.00738228772878
