terms,termCnt,relation,relationCnt
risk,40,such as,15
process control,15,is,11
injury,14,of,10
process design,13,includes,9
hazop,13,can be,8
hazard,13,to,7
calculated,13,measured by,7
conscious,12,include,6
unknown,12,involves,6
predictable,12,example,6
unconscious,12,????,6
temporary,12,using,6
operational factors,11,causes,5
death,11,categories,5
liability,10,classification,5
human factors,10,and,5
fmea,10,based on,5
environmental,9,like,5
societal risk,9,by,5
business interruption,9,lead to,5
qualitative,9,including,4
accidents,9,may cause,4
design,8,caused by,4
individual risk,8,are,4
probability,8,related to,4
risk matrices,8,is a,4
occupational,8,examples,4
environment,7,defined as,3
cha,7,from,3
project risk,7,due to,3
environmental risk,7,can be reduced by,3
project,7,definition,3
risk graph,7,contributing factors,3
quantitative,7,determines,3
area risk,6,reduces,3
plant property loss,6,which include,3
training,6,is caused by,3
occupational risk,6,uses,3
consequences,6,is related to,3
property loss,6,is the,3
hazards,6,can cause,3
process risk,6,leads to,3
mond indices,5,can be avoided by,3
employees,5,for,3
toxicity,5,requires,3
minor,5,consider,2
incidents,5,direct,2
hazard identification,5,mitigated by,2
product,5,needs to be,2
dow indices,5,examples include,2
frequency,5,properties,2
safety,5,must,2
contributing factors,5,conducted by,2
explosive,5,can lead to,2
maintenance,5,types,2
natural disasters,5,addressed by,2
bankruptcy,5,can be identified by,2
risk assessment,4,results in,2
piper alpha,4,characterized,2
risk management,4,examples are,2
loss,4,measure,2
damage,4,safeguarded by,2
flixborough,4,minimise by,2
likelihood,4,could be,2
natural disaster,4,which are,2
individual,4,must be,2
layout,4,incorporated,2
fire,4,in terms of,2
severity,4,leading to,2
environmental damage,4,can range from,2
events,4,causing,2
plant property,4,which,2
analysis,4,towards,2
occupational risks,4,reduced by,2
rare,4,with,2
fractional exposure,4,process risk categories,2
communication,4,cause by,2
societal,4,between,2
properties of hazardous materials,4,occupational,2
air pollution,4,for example,2
major variables,3,need,2
temporary risks,3,in,2
liability risks,3,has,2
impact of event,3,either,2
flammable,3,defined by,2
casualty probability,3,considers,2
decisions,3,prevents,2
public,3,to ensure,2
explosion,3,is associated with,2
experience,3,measurements,1
water pollution,3,seem as a,1
sir,3,can include,1
stir,3,need to be controlled by,1
data,3,depending on,1
complexity,3,is managed by,1
operations,3,represents to the business a,1
soil contamination,3,degree of acceptance and tolerabiltiy depends on,1
disasters,3,calculate,1
property damage,3,characterises,1
consequence,3,can be impacted by,1
hazan,3,function of,1
concealed risks,3,by the lack of,1
unknown risk,3,can be divide as,1
temperature,3,may lead to,1
conscious risk,3,are subject to,1
time of actions,3,analyzed by,1
equipment failure,3,in workplace,1
predictable risks,3,further broken down to,1
planning,3,triggers the presence of,1
employer,3,is produced by,1
catastrophic,3,is complete freedom from,1
voluntary,3,important term in,1
incident,3,is unavoidable,1
uncertainty,3,distinct from,1
