terms,termCnt,relation,relationCnt
risk,42,such as,11
injury,15,can be,10
death,13,by,10
hazard,12,is,9
environment,9,of,8
training,9,to,7
probability,9,leads to,7
hazards,9,causes,6
consequences,7,based on,6
risk assessment,6,????,6
human factors,6,due to,5
liability,5,example,4
hazop,5,can lead to,4
loss,5,uses,4
damage,5,may cause,4
safety,5,can be reduced by,4
likelihood,5,are,4
environmental,5,is a,4
property,5,increases,4
property loss,5,includes,4
accidents,5,include,3
case studies,4,mitigated by,3
decisions,4,from,3
design,4,in the form of,3
employees,4,addressed by,3
risk management,4,characterized,3
data,4,definition,3
society,4,and,3
disasters,4,reduced by,3
predictable,4,caused by,3
unknown risks,4,resulting in,3
calculated,4,determines,3
disaster,4,between,3
fire,4,because of,3
conscious risks,4,has,3
money,4,affects,3
managed,3,examples,3
temporary risks,3,consider,2
process design,3,categories,2
pollution,3,must be managed because,2
possibility,3,involves,2
danger,3,must,2
conscious,3,can,2
good management,3,conducted by,2
harm,3,need to,2
frequency,3,types,2
natural causes,3,created by,2
property damage,3,measured by,2
calculated risk,3,factors,2
calculated risks,3,could be,2
consequence,3,which are,2
delayed effects,3,must be,2
management,3,that is,2
unknown,3,gives,2
conscious risk,3,is reduced by,2
plant design,3,can be classified into,2
agency,3,which,2
predictable risks,3,which include,2
inherently safe design,3,is complete freedom from,2
planning,3,considers,2
occupational,3,for example,2
unconscious,3,minimise,2
accident,3,which addresses,2
others,3,in,2
maintenance,3,ie,2
societal risk,3,develop,2
natural disasters,3,is defined as,2
temporary,3,identify,2
predictable risk,3,human,2
facts,3,is the,2
qualitative,3,like,2
people,3,reduces,2
communication,3,either,2
bankruptcy,3,is a measure of,2
oneself,3,may be,2
regulations,3,balances,2
time,3,lead to,2
categories,2,is influenced by,2
companies,2,requires,2
explosion,2,seen as a,2
technical,2,seem as a,1
experience,2,depending on,1
engineers,2,is managed by,1
damage to environment,2,represents to the business a,1
properties of hazardous materials,2,forget,1
everywhere,2,focuses on,1
benefits,2,associated to,1
operational factors,2,defined as,1
control,2,characterises,1
process,2,can be impacted by,1
temporary risk,2,function of,1
engineered safety,2,classified into,1
chemical,2,risk,1
safety interlock system,2,can be saved by,1
operations,2,level,1
damage to property,2,is produced by,1
plant equipment,2,is contributed by factors such as,1
production,2,to achieve,1
permanent incapacity,2,have to comply with,1
avoided,2,enforce,1
driving,2,is unavoidable,1
threat,2,categories to,1
hazan,2,surrounding,1
concealed risks,2,design,1
unknown risk,2,could be related to,1
decision making,2,occuring frequently,1
poor planning,2,taking into count,1
natural disaster,2,measures include,1
employer,2,can cost,1
project,2,used to,1
compensation,2,cannot always be realised,1
cost,2,a source of,1
equipment,2,employed by,1
automatic process control,2,which affect,1
disease,2,not considering,1
impact,2,leaving,1
probability of event,2,implement,1
knowledge,2,not usually,1
hazardous substances,2,requiring,1
individual,2,manage,1
lawsuit,2,creates problems with,1
community,2,reduces the occurrence of a,1
earthquake,2,must protect,1
process control,2,is because of poor,1
life,2,apply,1
poor maintenance,2,raised from,1
human factor,2,impacts,1
lives,2,examples include,1
absolute safety,2,as a result of,1
analysis,2,minimise impact,1
costs,2,taken,1
quantitative,2,effected by,1
human,2,producing,1
workers,2,to prevent,1
government,2,triggers the presence of,1
individual risk,2,is the probability of a,1
process control systems,2,avoiding,1
unconscious risk,2,factors result in a perceived increase of a risk,1
business,2,incidents,1
involuntary exposure,2,reduce by,1
lack of training,2,makes a,1
process safety management,2,is assessed by,1
